username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
AroopDatta,11/17/16 2:38,1,2,@MinhazMerchant In Dubai people going Gaga over #demonetization and in India @ArvindKejriwal @MamataOfficial losing sleep over @vikas_kalia,,@MinhazMerchant @ArvindKejriwal @MamataOfficial @vikas_kalia,#demonetization,7.992E+17,https://twitter.com/AroopDatta/status/799200042796064768
kshatra,11/17/16 2:38,1,1,Choosing between demonetization and black money - is like having no water versus water laced with e-coli!,,,,7.992E+17,https://twitter.com/kshatra/status/799199997233221633
0d4191433afa4e4,11/17/16 2:38,0,0,Surprised ! Voice against demonetization coming frm some politicians only ? Ye public hai sab janti hai. @narendramodi #StopDemonetisation,,@narendramodi,#StopDemonetisation,7.992E+17,https://twitter.com/0d4191433afa4e4/status/799199944154476544
TechStoryin,11/17/16 2:37,2,2,@snapdeal Removes Rs. 2000 Cap Imposed On #CashOnDelivery Orders http:// techstory.in/?p=254659 #ecommerce #onlineshopping #demonetization pic.twitter.com/wVTToLqYvn,,@snapdeal,#CashOnDelivery #ecommerce #onlineshopping #demonetization,7.992E+17,https://twitter.com/TechStoryin/status/799199865993564161
InElectionNews,11/17/16 2:37,0,0,Yashasvi Pratap: And this happens just a month before the elections. So much for honest politics. lel#Demonetization ... â€_,,,#Demonetization,7.992E+17,https://twitter.com/InElectionNews/status/799199810960162816
HakeemIrfan,11/17/16 2:37,0,0,Linking stone-pelting with #demonetization is misrepresentation of facts: #Omar Abdullah http:// economictimes.indiatimes.com/news/politics- and-nation/linking-stone-pelting-with-demonetization-is-misrepresentation-of-facts-omar-abdullah/articleshow/55472589.cms â€_,,,#demonetization #Omar,7.992E+17,https://twitter.com/HakeemIrfan/status/799199801560547328
Bullet_Wallah,11/17/16 2:37,0,1,Unorganized economy has taken a massive blow due to #demonetization our local kirana store guy shut shop for three days!!,,,#demonetization,7.992E+17,https://twitter.com/Bullet_Wallah/status/799199733914877952
akrishg,11/17/16 2:37,0,0,The beauty of the demonetization scheme is that honest feels a sense of pride... http:// ln.is/Va9vx by #PiyushGoyal via @c0nvey,,@c0nvey,#PiyushGoyal,7.992E+17,https://twitter.com/akrishg/status/799199713576763392
bk_chudasama,11/17/16 2:37,0,0,26 Immdiate Effects of Demonetization Which The Media is Hiding From You! http:// jagrukbharat.com/9638/26-immdia te-effects-demonetization-media-hiding â€_,,,,7.992E+17,https://twitter.com/bk_chudasama/status/799199710623866882
Dev_RS,11/17/16 2:36,1,1,Exactly. The word Demonetization is badly misusing deliberately. Modi is just Replacing. Even they're misusing Monetary Policy also in this https:// twitter.com/INCIndia/statu s/799197904112144389 â€_,,,,7.992E+17,https://twitter.com/Dev_RS/status/799199607863418880
viksclicks,11/17/16 2:36,0,0,#Demonetization don't you think new INR notes should not have Gandhi but some other important figures like Neta... http:// fb.me/8BgIzdndi,,,#Demonetization,7.992E+17,https://twitter.com/viksclicks/status/799199572165881856
goggabachchan,11/17/16 2:36,14,30,@swapan55 Yechuri's problem is that Modi Demonetization move is more left than the Indian left ever envisaged,,@swapan55,,7.992E+17,https://twitter.com/goggabachchan/status/799199564012003328
rchandan27,11/17/16 2:36,0,0,Demonetization effect on rural India #1 https:// twitter.com/PSainath_org/s tatus/799197429513863168 â€_,,,#1,7.992E+17,https://twitter.com/rchandan27/status/799199527634776064
ls2008,11/17/16 2:35,3,8,Anna Hazare who fought corruption supports demonetization -Kejri #Blackmoney pic.twitter.com/tbxq8ItFOg 22,,,,,
watsupasia,11/17/16 2:35,0,0,Latest: Currency Demonetization : UDF to observe black day Today https:// goo.gl/OqAmlu,,,,7.99199E+17,https://twitter.com/watsupasia/status/799199341114171392
seemasirohi,11/17/16 2:35,0,0,What a mess! #demonetization https:// twitter.com/sunitarora/sta tus/799142660388720640 â€_,,,#demonetization,7.99199E+17,https://twitter.com/seemasirohi/status/799199209245159424
